iter	Passed	Remaining
0	0	97
1	1	95
2	2	92
3	3	87
4	4	91
5	6	108
6	10	139
7	11	135
8	12	131
9	14	128
10	15	123
11	16	118
12	17	113
13	17	109
14	19	108
15	20	105
16	21	107
17	26	118
18	27	115
19	28	113
20	29	111
21	30	107
22	31	104
23	32	101
24	33	99
25	34	96
26	34	94
27	36	94
28	37	92
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	82
35	45	80
36	45	78
37	46	76
38	47	74
39	48	72
40	49	70
41	49	68
42	50	66
43	51	66
44	52	64
45	53	62
46	56	63
47	57	62
48	58	60
49	58	58
50	59	57
51	59	55
52	60	53
53	61	52
54	61	50
55	62	48
56	62	47
57	63	45
58	63	44
59	65	43
60	66	42
61	67	41
62	68	40
63	68	38
64	69	37
65	70	36
66	71	34
67	71	33
68	72	32
69	72	31
70	73	30
71	74	28
72	74	27
73	75	26
74	75	25
75	76	24
76	77	23
77	77	21
78	78	20
79	78	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	84	10
89	85	9
90	85	8
91	86	7
92	87	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
